Date,Adj Close
10-05-2007,21.10000038
11-05-2007,21.85000038
14-05-2007,22.29999924
15-05-2007,21
16-05-2007,22.94000053
17-05-2007,23.01000023
18-05-2007,22.98999977
21-05-2007,23.64999962
22-05-2007,23.95000076
23-05-2007,23.89999962
24-05-2007,23.04999924
25-05-2007,23.51000023
29-05-2007,23.23999977
30-05-2007,22.88999939
31-05-2007,22.89999962
01-06-2007,23.04000092
04-06-2007,23.29999924
05-06-2007,23.40999985
06-06-2007,23.11000061
07-06-2007,22.77000046
08-06-2007,22.42000008
11-06-2007,22.72999954
12-06-2007,22.62999916
13-06-2007,23.29999924
14-06-2007,23.72999954
15-06-2007,24.70999908
18-06-2007,26
19-06-2007,25.51000023
20-06-2007,25.34000015
21-06-2007,24.90999985
22-06-2007,24.20999908
25-06-2007,24.60000038
26-06-2007,23.93000031
27-06-2007,24.65999985
28-06-2007,24.56999969
29-06-2007,24.80999947
02-07-2007,25.37999916
03-07-2007,25.69000053
05-07-2007,26.35000038
06-07-2007,26.71999931
09-07-2007,26.68000031
10-07-2007,26.5
11-07-2007,26.76000023
12-07-2007,26.95000076
13-07-2007,28.17000008
16-07-2007,27.76000023
17-07-2007,27.72999954
18-07-2007,27.25
19-07-2007,27.78000069
20-07-2007,27.25
23-07-2007,27.37999916
24-07-2007,26.51000023
25-07-2007,25.64999962
26-07-2007,25.23999977
27-07-2007,25.28000069
30-07-2007,26.03000069
31-07-2007,25.95000076
01-08-2007,25.29999924
02-08-2007,26.39999962
03-08-2007,27
06-08-2007,26.44000053
07-08-2007,26.86000061
08-08-2007,27.04999924
09-08-2007,26.07999992
10-08-2007,25.10000038
13-08-2007,25.14999962
14-08-2007,24.76000023
15-08-2007,24.75
16-08-2007,24.39999962
17-08-2007,24.43000031
20-08-2007,25
21-08-2007,26.13999939
22-08-2007,27.11000061
23-08-2007,27.29999924
24-08-2007,27.36000061
27-08-2007,27.18000031
28-08-2007,26.19000053
29-08-2007,26.51000023
30-08-2007,26.63999939
31-08-2007,26.87000084
04-09-2007,27
05-09-2007,27.01000023
06-09-2007,27
07-09-2007,26.79000092
10-09-2007,26.86000061
11-09-2007,27.30999947
12-09-2007,27.79999924
13-09-2007,27.89999962
14-09-2007,27.95999908
17-09-2007,29.05999947
18-09-2007,30.22999954
19-09-2007,30.80999947
20-09-2007,29.94000053
21-09-2007,30.46999931
24-09-2007,30.19000053
25-09-2007,31
26-09-2007,33.04000092
27-09-2007,35.93999863
28-09-2007,34.93000031
01-10-2007,36.04000092
02-10-2007,37.25
03-10-2007,35.68999863
04-10-2007,33.90999985
05-10-2007,34.86999893
08-10-2007,34.40000153
09-10-2007,35.43999863
10-10-2007,36.56999969
11-10-2007,36.13000107
12-10-2007,36.33000183
15-10-2007,36.66999817
16-10-2007,35.58000183
17-10-2007,36.75
18-10-2007,35.16999817
19-10-2007,33.68000031
22-10-2007,32.38000107
23-10-2007,34.00999832
24-10-2007,33.15000153
25-10-2007,33.29999924
26-10-2007,33.81999969
